"id","age_group","card_type","PIN_Change_Due","id.y","age_group_num"
140,"31-45","Debit",1,152,2
1884,"18-30","Debit (Prepaid)",0,443,1
1874,"46-60","Debit",1,3377,3
1874,"46-60","Credit",1,5789,3
1874,"46-60","Debit",0,2106,3
1874,"46-60","Debit",1,2078,3
1310,"31-45","Credit",1,5866,2
1310,"31-45","Credit",1,173,2
1689,"18-30","Credit",0,1771,1
1689,"18-30","Debit",1,6132,1
379,"46-60","Credit",1,327,3
379,"46-60","Debit",1,2019,3
379,"46-60","Debit",1,3881,3
34,"31-45","Debit",1,1166,2
34,"31-45","Debit (Prepaid)",1,3342,2
822,"46-60","Credit",1,5622,3
822,"46-60","Debit",1,5424,3
822,"46-60","Debit",1,2558,3
822,"46-60","Credit",1,5385,3
822,"46-60","Debit (Prepaid)",1,5596,3
1499,"46-60","Credit",1,3991,3
1780,"46-60","Credit",1,6126,3
1806,"46-60","Debit",1,3756,3
811,"60+","Credit",1,971,4
811,"60+","Debit",0,2079,4
811,"60+","Credit",0,387,4
811,"60+","Debit",0,444,4
811,"60+","Debit",1,5277,4
811,"60+","Debit",1,4358,4
811,"60+","Debit",1,2318,4
1844,"60+","Debit (Prepaid)",1,6019,4
1844,"60+","Credit",1,4421,4
1844,"60+","Debit",1,3702,4
1844,"60+","Credit",1,2854,4
1844,"60+","Debit",1,4114,4
1852,"46-60","Debit",1,28,3
1852,"46-60","Debit (Prepaid)",1,6127,3
1852,"46-60","Credit",1,2477,3
1852,"46-60","Credit",1,2632,3
1231,"18-30","Debit",0,1463,1
970,"31-45","Debit",1,5679,2
970,"31-45","Credit",1,1012,2
970,"31-45","Credit",0,1464,2
381,"18-30","Credit",0,1465,1
1134,"18-30","Credit",0,388,1
1296,"46-60","Debit",1,3708,3
1296,"46-60","Credit",1,3087,3
1296,"46-60","Credit",1,67,3
1296,"46-60","Debit (Prepaid)",1,80,3
1296,"46-60","Debit",1,3665,3
1880,"60+","Debit",1,2014,4
1880,"60+","Debit",1,4906,4
1880,"60+","Credit",1,3757,4
322,"46-60","Credit",1,5365,3
322,"46-60","Debit",1,5425,3
322,"46-60","Debit",1,5758,3
461,"31-45","Debit",1,5482,2
461,"31-45","Debit",1,3172,2
461,"31-45","Debit",1,1209,2
461,"31-45","Debit",1,5313,2
1165,"46-60","Debit",1,4762,3
1448,"46-60","Credit",1,126,3
1448,"46-60","Debit",1,4685,3
1448,"46-60","Credit",1,5907,3
1288,"31-45","Debit",1,2428,2
1288,"31-45","Debit",1,1013,2
1178,"46-60","Debit",1,5145,3
1178,"46-60","Debit",1,5854,3
1178,"46-60","Debit",1,5296,3
1178,"46-60","Debit",1,1327,3
1178,"46-60","Debit",0,383,3
1391,"31-45","Debit",1,5129,2
1391,"31-45","Debit (Prepaid)",1,5995,2
1391,"31-45","Debit",1,4107,2
1391,"31-45","Debit",1,36,2
838,"18-30","Credit",0,445,1
54,"18-30","Debit",0,1466,1
54,"18-30","Debit",0,749,1
54,"18-30","Debit (Prepaid)",0,1772,1
1452,"46-60","Debit",1,3801,3
1602,"31-45","Credit",1,282,2
1602,"31-45","Credit",1,6105,2
1938,"18-30","Debit",0,446,1
1938,"18-30","Credit",0,422,1
1492,"60+","Debit",1,5231,4
1492,"60+","Debit (Prepaid)",1,2615,4
1492,"60+","Credit",0,2776,4
1492,"60+","Debit",1,5452,4
1492,"60+","Debit",1,3563,4
1492,"60+","Debit",1,6134,4
1492,"60+","Credit",1,4818,4
1492,"60+","Debit (Prepaid)",1,2171,4
688,"31-45","Debit",1,6106,2
688,"31-45","Debit",1,3042,2
688,"31-45","Credit",1,5209,2
688,"31-45","Credit",1,1296,2
749,"18-30","Credit",0,389,1
749,"18-30","Debit",0,1773,1
749,"18-30","Credit",0,1467,1
643,"18-30","Credit",0,1395,1
643,"18-30","Credit",1,5597,1
1219,"18-30","Debit",0,1468,1
1219,"18-30","Credit",1,2309,1
1219,"18-30","Debit",1,3466,1
1198,"60+","Debit",1,2804,4
1198,"60+","Credit",0,1388,4
898,"60+","Debit",1,4660,4
898,"60+","Debit",1,3356,4
898,"60+","Credit",1,4870,4
882,"60+","Debit",1,3467,4
882,"60+","Debit",1,1079,4
348,"46-60","Debit",1,2977,3
348,"46-60","Credit",1,3073,3
348,"46-60","Credit",1,3554,3
633,"31-45","Debit",1,2597,2
1493,"18-30","Credit",1,3489,1
1493,"18-30","Credit",1,4003,1
1493,"18-30","Credit",0,1469,1
1493,"18-30","Debit",0,1774,1
1161,"18-30","Credit",0,1470,1
1161,"18-30","Debit",0,1471,1
217,"31-45","Debit",1,2691,2
217,"31-45","Debit",1,174,2
217,"31-45","Debit",1,1364,2
217,"31-45","Credit",1,1266,2
217,"31-45","Debit",1,1267,2
217,"31-45","Credit",1,207,2
217,"31-45","Credit",1,5448,2
1877,"60+","Credit",1,5449,4
1877,"60+","Debit",1,2107,4
1877,"60+","Debit",1,2398,4
1877,"60+","Credit",1,5414,4
668,"60+","Debit",1,3758,4
668,"60+","Debit",1,4097,4
668,"60+","Debit",1,5778,4
668,"60+","Credit",1,4318,4
668,"60+","Debit",1,5015,4
533,"18-30","Debit",0,750,1
203,"46-60","Credit",1,242,3
203,"46-60","Credit",1,3966,3
203,"46-60","Credit",1,5375,3
1738,"18-30","Credit",1,5166,1
1738,"18-30","Credit",0,1472,1
1738,"18-30","Debit",0,751,1
1738,"18-30","Credit",1,5623,1
713,"18-30","Debit",1,6099,1
713,"18-30","Debit",0,1473,1
713,"18-30","Credit",0,1775,1
713,"18-30","Debit",0,447,1
1631,"18-30","Credit",0,1474,1
1631,"18-30","Credit",0,1776,1
1631,"18-30","Credit",0,448,1
1487,"46-60","Debit",1,5978,3
1487,"46-60","Debit",1,2978,3
1487,"46-60","Credit",1,4946,3
1265,"18-30","Debit",0,1475,1
370,"60+","Debit",1,5376,4
370,"60+","Debit",1,4127,4
370,"60+","Debit",1,5093,4
370,"60+","Debit",1,3490,4
1014,"46-60","Debit",1,5702,3
1014,"46-60","Credit",1,2200,3
1014,"46-60","Debit (Prepaid)",1,5436,3
290,"18-30","Debit",0,449,1
290,"18-30","Debit",0,1777,1
985,"31-45","Credit",1,3862,2
985,"31-45","Credit",1,1268,2
985,"31-45","Debit",0,752,2
985,"31-45","Credit",1,2704,2
135,"60+","Debit",1,2808,4
135,"60+","Debit",1,4791,4
307,"18-30","Debit",0,1476,1
307,"18-30","Credit",0,753,1
1783,"46-60","Credit",1,4112,3
1783,"46-60","Credit",1,1154,3
1783,"46-60","Credit",1,2598,3
1783,"46-60","Debit",1,10,3
1783,"46-60","Credit",1,4655,3
1321,"46-60","Debit",1,5908,3
1511,"31-45","Debit",1,3357,2
1511,"31-45","Debit",1,5502,2
900,"31-45","Debit (Prepaid)",1,1238,2
900,"31-45","Credit",1,3412,2
953,"18-30","Debit",0,1477,1
953,"18-30","Credit",0,1396,1
233,"31-45","Credit",1,1297,2
406,"18-30","Credit",1,3605,1
1069,"46-60","Debit",1,5167,3
1069,"46-60","Credit",1,3922,3
180,"31-45","Credit",1,5453,2
180,"31-45","Credit",0,2888,2
996,"60+","Credit",1,3208,4
996,"60+","Debit",1,4661,4
996,"60+","Debit",1,3277,4
996,"60+","Credit",1,1107,4
996,"60+","Debit",1,3310,4
996,"60+","Debit",1,1279,4
1866,"18-30","Debit",0,1778,1
1866,"18-30","Debit",0,1478,1
1981,"46-60","Debit",1,2108,3
1981,"46-60","Credit",1,5143,3
1981,"46-60","Credit",1,4151,3
1981,"46-60","Debit",1,3606,3
1981,"46-60","Debit",1,3248,3
1981,"46-60","Debit",1,2996,3
1981,"46-60","Debit",1,4,3
870,"60+","Debit",1,3257,4
870,"60+","Credit",0,3626,4
870,"60+","Debit",1,1039,4
16,"60+","Debit (Prepaid)",1,2080,4
16,"60+","Debit",1,49,4
16,"60+","Debit",1,4964,4
16,"60+","Debit",1,4093,4
16,"60+","Credit",1,2979,4
46,"60+","Debit",1,3513,4
46,"60+","Debit (Prepaid)",1,3732,4
46,"60+","Debit",1,2925,4
46,"60+","Debit (Prepaid)",1,1167,4
800,"18-30","Debit",0,450,1
800,"18-30","Debit",1,2759,1
800,"18-30","Debit (Prepaid)",0,1779,1
800,"18-30","Debit",0,754,1
1968,"18-30","Debit (Prepaid)",0,1479,1
697,"46-60","Debit",1,1298,3
697,"46-60","Debit",0,3640,3
697,"46-60","Debit",1,3074,3
1269,"46-60","Debit",1,4239,3
1269,"46-60","Credit",1,4147,3
1782,"46-60","Debit",1,3075,3
1782,"46-60","Debit",1,4289,3
1782,"46-60","Debit",1,2172,3
1977,"31-45","Credit",1,5366,2
1977,"31-45","Debit (Prepaid)",1,2673,2
1977,"31-45","Debit",1,965,2
1734,"31-45","Debit",1,4763,2
1734,"31-45","Debit",0,451,2
1913,"46-60","Debit",1,3300,3
1913,"46-60","Credit",1,5226,3
1913,"46-60","Credit",1,5477,3
1913,"46-60","Credit",1,5877,3
1913,"46-60","Credit",1,3084,3
858,"46-60","Credit",1,13,3
858,"46-60","Credit",1,4735,3
858,"46-60","Debit (Prepaid)",1,2633,3
606,"46-60","Debit",1,4173,3
1564,"31-45","Credit",1,5925,2
1564,"31-45","Credit",1,4240,2
1564,"31-45","Debit",1,3514,2
1109,"18-30","Debit",0,1480,1
1301,"18-30","Debit",1,3136,1
1301,"18-30","Debit",0,755,1
1301,"18-30","Debit",0,2787,1
1301,"18-30","Debit",1,4435,1
1301,"18-30","Debit",0,378,1
1301,"18-30","Debit",1,3189,1
1301,"18-30","Debit",1,3595,1
1301,"18-30","Debit",0,1481,1
1301,"18-30","Credit",0,390,1
1399,"18-30","Debit",0,4065,1
1399,"18-30","Debit (Prepaid)",0,756,1
1399,"18-30","Credit",0,1482,1
1399,"18-30","Debit",0,452,1
1775,"18-30","Debit",0,5743,1
1775,"18-30","Debit",1,344,1
1775,"18-30","Credit",0,423,1
1673,"31-45","Debit",1,5542,2
1673,"31-45","Debit",0,2777,2
1673,"31-45","Debit",1,5598,2
1957,"31-45","Debit (Prepaid)",0,3759,2
1957,"31-45","Credit",1,5483,2
1033,"18-30","Debit",0,453,1
1033,"18-30","Debit",0,454,1
1024,"60+","Debit",1,3564,4
1024,"60+","Debit",1,4241,4
1024,"60+","Debit",1,5268,4
1024,"60+","Credit",1,1006,4
1441,"31-45","Debit",1,2825,2
1441,"31-45","Debit (Prepaid)",1,1007,2
1441,"31-45","Credit",1,4792,2
1103,"31-45","Debit",1,2599,2
1103,"31-45","Credit",1,4984,2
1103,"31-45","Debit",1,2895,2
431,"18-30","Debit",0,455,1
431,"18-30","Debit",0,456,1
431,"18-30","Debit",0,1483,1
165,"31-45","Debit (Prepaid)",1,3378,2
165,"31-45","Debit",1,5146,2
165,"31-45","Debit",1,2559,2
353,"18-30","Debit",0,1484,1
353,"18-30","Debit (Prepaid)",0,5328,1
1758,"46-60","Debit",1,2154,3
1758,"46-60","Debit",1,4686,3
1758,"46-60","Debit",0,3440,3
1758,"46-60","Credit",1,2674,3
1266,"31-45","Debit",1,2478,2
1943,"18-30","Debit (Prepaid)",0,457,1
1943,"18-30","Debit",0,458,1
1943,"18-30","Credit",0,757,1
792,"18-30","Debit",0,1485,1
792,"18-30","Debit (Prepaid)",1,3491,1
1055,"31-45","Debit",1,3249,2
1159,"18-30","Debit",0,459,1
1159,"18-30","Credit",0,1780,1
1159,"18-30","Debit",0,460,1
1159,"18-30","Debit (Prepaid)",0,758,1
1115,"46-60","Credit",1,5484,3
1115,"46-60","Credit",1,2809,3
1115,"46-60","Debit",0,6138,3
1115,"46-60","Debit",0,374,3
1115,"46-60","Debit (Prepaid)",1,4225,3
1115,"46-60","Debit",1,1014,3
38,"31-45","Debit",1,2526,2
1027,"46-60","Debit",1,1352,3
1027,"46-60","Credit",1,5543,3
1027,"46-60","Debit",1,3671,3
11,"31-45","Credit",1,5503,2
11,"31-45","Debit (Prepaid)",1,2096,2
11,"31-45","Debit",1,243,2
11,"31-45","Credit",1,18,2
11,"31-45","Debit",1,1336,2
11,"31-45","Credit",1,189,2
871,"60+","Credit",1,2910,4
871,"60+","Debit",1,2081,4
871,"60+","Credit",1,2082,4
871,"60+","Debit",0,5336,4
871,"60+","Credit",1,3831,4
871,"60+","Debit (Prepaid)",1,5645,4
746,"60+","Credit",1,958,4
746,"60+","Debit (Prepaid)",1,3043,4
746,"60+","Credit",1,2319,4
746,"60+","Credit",1,3492,4
1520,"60+","Credit",1,108,4
1520,"60+","Debit",1,3329,4
1520,"60+","Debit",1,2956,4
1520,"60+","Credit",1,4033,4
1520,"60+","Debit (Prepaid)",1,2715,4
1372,"60+","Debit",1,2655,4
1372,"60+","Credit",0,1781,4
1799,"31-45","Debit",1,5909,2
1799,"31-45","Debit",1,3076,2
1799,"31-45","Debit (Prepaid)",1,4595,2
1799,"31-45","Debit",0,1782,2
1905,"31-45","Credit",1,4806,2
1905,"31-45","Credit",1,3902,2
1905,"31-45","Credit",1,2127,2
1905,"31-45","Debit",1,5807,2
130,"60+","Debit (Prepaid)",0,1486,4
130,"60+","Credit",1,3785,4
130,"60+","Debit",1,6020,4
130,"60+","Credit",1,2468,4
1990,"18-30","Credit",0,1783,1
1990,"18-30","Debit",0,1487,1
593,"18-30","Credit",0,461,1
540,"18-30","Debit",0,1488,1
1155,"60+","Debit",1,2997,4
1155,"60+","Debit",1,4596,4
1155,"60+","Credit",1,5784,4
1155,"60+","Debit",1,4319,4
1155,"60+","Credit",1,1328,4
663,"60+","Debit",1,5941,4
663,"60+","Debit (Prepaid)",1,2173,4
663,"60+","Debit",1,975,4
663,"60+","Credit",1,4831,4
663,"60+","Debit",1,5926,4
1987,"60+","Credit",1,3358,4
1987,"60+","Credit",1,3668,4
1484,"60+","Credit",1,3209,4
1484,"60+","Debit",1,5058,4
1484,"60+","Debit",1,2527,4
1484,"60+","Debit",1,4242,4
1484,"60+","Credit",1,2733,4
1484,"60+","Debit",1,4764,4
417,"18-30","Credit",0,462,1
298,"18-30","Debit",0,1784,1
306,"18-30","Debit",0,463,1
306,"18-30","Debit",0,464,1
607,"18-30","Credit",0,1785,1
607,"18-30","Credit",0,1489,1
607,"18-30","Debit",0,759,1
607,"18-30","Credit",0,1786,1
607,"18-30","Debit",1,6100,1
1769,"60+","Debit",1,3981,4
1769,"60+","Credit",0,375,4
1769,"60+","Debit (Prepaid)",1,295,4
1769,"60+","Debit",1,5599,4
1769,"60+","Credit",0,43,4
698,"46-60","Debit",1,5820,3
698,"46-60","Debit",1,2332,3
698,"46-60","Debit",0,1490,3
896,"18-30","Debit",1,2286,1
1975,"46-60","Debit",1,3882,3
1975,"46-60","Credit",1,4336,3
1975,"46-60","Credit",1,5957,3
645,"60+","Debit",1,267,4
645,"60+","Debit",1,5094,4
645,"60+","Debit",1,2469,4
645,"60+","Debit",1,68,4
645,"60+","Debit",1,3703,4
227,"46-60","Debit",1,5600,3
227,"46-60","Debit",1,4886,3
227,"46-60","Debit",1,2512,3
227,"46-60","Credit",1,5867,3
84,"46-60","Debit",1,5750,3
84,"46-60","Credit",1,2580,3
84,"46-60","Debit",1,3417,3
1684,"46-60","Debit",1,3543,3
1684,"46-60","Debit",1,94,3
1684,"46-60","Debit",1,2723,3
1684,"46-60","Credit",1,3278,3
1684,"46-60","Debit (Prepaid)",1,2140,3
745,"18-30","Credit",0,1491,1
1508,"60+","Debit (Prepaid)",1,5646,4
1508,"60+","Credit",1,1108,4
1508,"60+","Credit",1,3508,4
1508,"60+","Debit",1,3279,4
1158,"60+","Credit",1,3617,4
1158,"60+","Debit",1,1329,4
1427,"31-45","Debit",1,3946,2
352,"18-30","Debit",0,465,1
352,"18-30","Debit",0,466,1
1948,"18-30","Credit",0,1492,1
1948,"18-30","Credit",0,760,1
1948,"18-30","Debit",0,761,1
724,"31-45","Credit",1,5624,2
724,"31-45","Credit",1,2656,2
724,"31-45","Debit",1,2876,2
724,"31-45","Credit",1,5868,2
543,"31-45","Credit",1,5996,2
543,"31-45","Debit",1,4320,2
543,"31-45","Debit",1,4708,2
1559,"46-60","Credit",1,2920,3
1559,"46-60","Debit",1,5797,3
1559,"46-60","Debit",0,3301,3
1199,"18-30","Credit",0,1787,1
1199,"18-30","Debit",0,762,1
1745,"18-30","Debit",0,467,1
1745,"18-30","Debit",0,1788,1
1745,"18-30","Debit",0,1789,1
1950,"31-45","Debit",1,5028,2
1950,"31-45","Credit",1,328,2
1950,"31-45","Debit",1,4374,2
1950,"31-45","Debit",1,1312,2
1950,"31-45","Debit",1,5730,2
1397,"31-45","Debit (Prepaid)",0,763,2
1397,"31-45","Debit",1,2957,2
1397,"31-45","Credit",0,3627,2
1397,"31-45","Credit",1,3044,2
873,"46-60","Debit",1,5401,3
873,"46-60","Debit",1,3205,3
873,"46-60","Debit",1,1269,3
1728,"46-60","Credit",1,20,3
1728,"46-60","Credit",1,3493,3
1728,"46-60","Debit",1,153,3
1728,"46-60","Credit",1,4422,3
299,"31-45","Debit",1,223,2
299,"31-45","Credit",1,2756,2
299,"31-45","Debit",1,208,2
299,"31-45","Debit",0,468,2
299,"31-45","Credit",0,764,2
1742,"46-60","Debit",1,4414,3
1742,"46-60","Credit",1,1155,3
1742,"46-60","Debit (Prepaid)",1,5869,3
1742,"46-60","Debit",1,4559,3
1004,"46-60","Debit",1,2005,3
1004,"46-60","Debit",1,345,3
1004,"46-60","Debit",1,3672,3
301,"46-60","Credit",1,3742,3
1011,"18-30","Debit",0,1493,1
906,"60+","Debit",1,4915,4
906,"60+","Credit",1,1190,4
906,"60+","Credit",1,5095,4
906,"60+","Credit",1,2409,4
906,"60+","Debit",1,3760,4
906,"60+","Debit (Prepaid)",1,2174,4
110,"46-60","Credit",1,4756,3
110,"46-60","Debit",1,3240,3
110,"46-60","Debit",1,5189,3
110,"46-60","Debit",1,4103,3
1073,"31-45","Debit",1,2547,2
1073,"31-45","Debit (Prepaid)",1,4436,2
705,"60+","Debit (Prepaid)",1,4597,4
705,"60+","Credit",1,5359,4
820,"60+","Debit (Prepaid)",1,3311,4
820,"60+","Credit",1,5040,4
820,"60+","Debit",1,127,4
820,"60+","Credit",1,3224,4
820,"60+","Credit",0,469,4
1188,"18-30","Debit (Prepaid)",0,470,1
1128,"46-60","Debit",1,4548,3
1128,"46-60","Credit",1,4765,3
1128,"46-60","Credit",1,4583,3
1128,"46-60","Credit",1,4316,3
1128,"46-60","Credit",1,3144,3
1479,"31-45","Credit",1,1139,2
1594,"31-45","Credit",1,6128,2
1594,"31-45","Debit",1,3241,2
1594,"31-45","Debit",1,3565,2
1485,"60+","Debit",1,5029,4
1485,"60+","Debit (Prepaid)",1,4298,4
1485,"60+","Debit",1,3819,4
1485,"60+","Debit",1,4736,4
1390,"31-45","Credit",1,88,2
1390,"31-45","Credit",1,3359,2
1390,"31-45","Debit",1,5269,2
644,"46-60","Credit",1,2657,3
1912,"31-45","Debit",1,5020,2
1584,"18-30","Debit",1,3544,1
1584,"18-30","Debit",1,6038,1
1803,"18-30","Debit",0,1494,1
1824,"18-30","Debit",0,1790,1
1824,"18-30","Debit (Prepaid)",0,1791,1
1824,"18-30","Debit",1,5721,1
340,"18-30","Debit (Prepaid)",0,471,1
650,"31-45","Debit",0,4922,2
650,"31-45","Debit",1,3669,2
650,"31-45","Credit",1,3717,2
650,"31-45","Debit (Prepaid)",1,5580,2
650,"31-45","Credit",1,3494,2
650,"31-45","Debit (Prepaid)",1,3837,2
762,"46-60","Debit",1,1080,3
1061,"18-30","Debit",0,472,1
1931,"46-60","Debit",0,5356,3
1931,"46-60","Credit",1,3530,3
702,"46-60","Credit",1,4199,3
702,"46-60","Debit (Prepaid)",1,3863,3
702,"46-60","Credit",1,2258,3
702,"46-60","Debit (Prepaid)",1,4096,3
918,"31-45","Debit",1,2175,2
918,"31-45","Debit",1,2734,2
1137,"46-60","Credit",0,3202,3
1137,"46-60","Debit",1,3718,3
1137,"46-60","Credit",1,3688,3
66,"18-30","Debit",0,765,1
66,"18-30","Debit",0,1792,1
66,"18-30","Debit",0,6136,1
66,"18-30","Credit",0,391,1
1406,"31-45","Debit",1,2743,2
1406,"31-45","Credit",1,3883,2
437,"46-60","Credit",1,5186,3
437,"46-60","Debit",1,5454,3
437,"46-60","Debit",1,3271,3
806,"18-30","Debit",0,1495,1
806,"18-30","Credit",0,1496,1
806,"18-30","Debit",0,766,1
891,"31-45","Debit",1,3566,2
891,"31-45","Debit",1,2141,2
891,"31-45","Credit",1,5096,2
891,"31-45","Debit",1,4321,2
891,"31-45","Debit",1,4649,2
1191,"18-30","Debit",0,767,1
701,"18-30","Credit",0,365,1
1147,"60+","Debit",1,2042,4
1147,"60+","Credit",1,3924,4
1625,"18-30","Debit (Prepaid)",0,1497,1
1664,"31-45","Credit",1,2557,2
1664,"31-45","Credit",1,2273,2
1664,"31-45","Credit",1,5544,2
1664,"31-45","Debit",1,5147,2
1273,"18-30","Credit",0,1498,1
1009,"31-45","Credit",1,154,2
1009,"31-45","Debit",1,4709,2
1009,"31-45","Debit",1,5601,2
1341,"60+","Credit",1,1008,4
1341,"60+","Credit",1,4766,4
1341,"60+","Debit",1,4394,4
1341,"60+","Debit",1,4098,4
925,"31-45","Debit (Prepaid)",0,1499,2
824,"31-45","Credit",0,768,2
824,"31-45","Debit",1,5958,2
824,"31-45","Debit",0,473,2
824,"31-45","Debit",1,3838,2
563,"60+","Debit",1,5074,4
563,"60+","Debit",1,2097,4
563,"60+","Credit",0,1060,4
563,"60+","Credit",1,4054,4
563,"60+","Debit",1,2760,4
563,"60+","Debit (Prepaid)",1,2864,4
1612,"60+","Credit",1,5485,4
1700,"31-45","Credit",1,2581,2
963,"18-30","Debit",0,474,1
963,"18-30","Debit",0,1500,1
963,"18-30","Credit",1,1353,1
904,"31-45","Credit",0,475,2
1586,"31-45","Credit",1,2297,2
1586,"31-45","Credit",1,6051,2
1586,"31-45","Credit",1,1122,2
1586,"31-45","Debit",1,1365,2
1286,"46-60","Debit",1,5168,3
1286,"46-60","Debit",1,5798,3
719,"46-60","Debit",1,5518,3
719,"46-60","Credit",1,6021,3
719,"46-60","Credit",0,4075,3
1469,"18-30","Debit (Prepaid)",0,769,1
930,"18-30","Debit",0,770,1
930,"18-30","Credit",0,1501,1
1814,"31-45","Debit",1,2761,2
1814,"31-45","Debit (Prepaid)",1,4375,2
1814,"31-45","Credit",1,1040,2
1723,"31-45","Debit (Prepaid)",1,2298,2
1723,"31-45","Debit",1,4099,2
1723,"31-45","Debit",1,2479,2
1377,"31-45","Debit",0,1502,2
1377,"31-45","Debit",1,4598,2
1377,"31-45","Debit (Prepaid)",0,1793,2
470,"46-60","Credit",1,5097,3
470,"46-60","Debit",1,2896,3
470,"46-60","Debit",1,3733,3
1804,"18-30","Credit",0,1794,1
1804,"18-30","Debit",0,476,1
1804,"18-30","Debit",0,1795,1
1804,"18-30","Credit",0,771,1
229,"31-45","Credit",0,1503,2
229,"31-45","Debit",1,2683,2
229,"31-45","Debit (Prepaid)",0,1504,2
229,"31-45","Debit",0,1796,2
229,"31-45","Credit",1,5942,2
1512,"31-45","Debit",1,4139,2
1512,"31-45","Debit (Prepaid)",0,4923,2
1512,"31-45","Debit (Prepaid)",1,95,2
1512,"31-45","Credit",1,2582,2
1512,"31-45","Debit",1,5049,2
1512,"31-45","Debit",1,5190,2
1512,"31-45","Debit",1,976,2
1512,"31-45","Debit",1,3689,2
1543,"31-45","Debit",1,4425,2
1543,"31-45","Debit",1,4687,2
1543,"31-45","Debit",0,4473,2
1543,"31-45","Credit",1,3864,2
147,"18-30","Credit",0,424,1
147,"18-30","Debit",1,3013,1
147,"18-30","Credit",0,772,1
147,"18-30","Credit",1,2634,1
1941,"31-45","Credit",1,1109,2
1941,"31-45","Debit (Prepaid)",1,2940,2
1941,"31-45","Debit",1,2030,2
901,"46-60","Debit (Prepaid)",1,2031,3
901,"46-60","Credit",1,3729,3
901,"46-60","Debit",1,4152,3
191,"18-30","Debit",0,773,1
12,"18-30","Debit",0,477,1
1828,"46-60","Debit",0,2782,3
1828,"46-60","Debit",1,3090,3
29,"60+","Credit",0,2783,4
29,"60+","Debit",1,3045,4
181,"18-30","Credit",0,4477,1
995,"31-45","Debit",1,1061,2
1218,"18-30","Debit",0,1505,1
186,"60+","Credit",1,3302,4
171,"31-45","Debit (Prepaid)",1,4490,2
171,"31-45","Debit",1,3704,2
171,"31-45","Debit",1,1239,2
1401,"18-30","Credit",0,774,1
1401,"18-30","Debit",0,1506,1
1314,"31-45","Credit",1,2911,2
1314,"31-45","Debit",1,1081,2
